task,candidate_kind,candidate_id,native_verdict,securebench_verdict,agree,sha256,recorded_in_test_verdict,native_reward,native_error,securebench_status,securebench_source,securebench_error
deep-swe/bandit-structured-nosec-directives,mutant,test_region_does_not_auto_end_at_dedent_mutant_fails#1,fail,fail,yes,4446fbb339491c0675eda0eaaeaaf8fee7dc795f67f872618b5378017b9687e7,failed,0,,failed,command-replay,
deep-swe/bandit-structured-nosec-directives,mutant,test_blanket_does_not_dominate_union_mutant_fails#1,fail,fail,yes,7adc4f7489c830909b9e796e62786889d128d0e096240f1297d52794f5eddac5,failed,0,,failed,command-replay,
deep-swe/bandit-structured-nosec-directives,mutant,test_selector_intersection_behaves_like_union_mutant_fails#1,fail,fail,yes,a944a996a09f65cf58d2a571db6fa0ec17033983261a974ba0474e62cbda0423,failed,0,,failed,command-replay,
deep-swe/bandit-structured-nosec-directives,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,b35e9ce831b69e3443ceda1a955d8d6d934e0915e15f20c754cbb2e7b8ed4514,passed,1,,passed,command-replay,
deep-swe/bandit-structured-nosec-directives,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/bandit-structured-nosec-directives,mutant,test_linerange_truncated_to_node_start_mutant_fails#1,fail,fail,yes,ea67f9afb51f3f218ca3f39161cda1a7a19a94ba760dbe18745f568ef619609e,failed,0,,failed,command-replay,
deep-swe/dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[ruleset-dtstart-dedup-dropped]#1,fail,fail,yes,2ef7fef6aa6e36f0e9a7114abc6c2624a86d2220189d703e3555c43bd1f20b20,failed,0,,failed,command-replay,
deep-swe/dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[vcalendar-line-unfolding-keeps-whitespace]#1,fail,fail,yes,306e9f30e358eec58b3ef8d916509e743298f5ba875b0dd68a116ec19d0eea19,failed,0,,failed,command-replay,
deep-swe/dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[vtimezone-priority-over-tzids-dropped]#1,fail,fail,yes,73da345bbfc1968540ff10068d455a739a95a81e64bc13bbe28e3855d3fddae6,failed,0,,failed,command-replay,
deep-swe/dateutil-rfc5545-timezone-interop,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,dc6c13f7e3e211513af50613e61baf1d24a2115d91b932af89e0781335940a2b,passed,1,,passed,command-replay,
deep-swe/dateutil-rfc5545-timezone-interop,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_dropping_the_largest_source_file_fails#1,fail,fail,yes,14aaab496e62c2abe50d99d56efbe84eafa86fa6f0e4894b5b5f6627237ff3c1,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,399c2810c174ecbcc655461a8584da9bc706daf01fa8cff273c73ade7e092df2,passed,1,,passed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_semantic_mutants_fail[fr-rounding]#1,pass,fail,no,416a9bf4d073c3e0138019d64904dd629be37c7d15cb0405a58551084d31f8bd,failed,1,,failed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_semantic_mutants_fail[minmax-fixed-cap-dropped]#1,fail,fail,yes,4e5b518f7b1e70d5604291a558a14fd03a9e6036b04ed25f7bdefcb7ea2d10bf,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_semantic_mutants_fail[auto-placement-ignores-occupied-cells]#1,fail,fail,yes,aa2011abccfd28e5a2b671004b4877969243a0e6ea2ea3dfc3a0ec23708be0db,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_semantic_mutants_fail[span-off-by-one]#1,fail,fail,yes,b53b337295329e1bebcbee42e147691b01e0f880ea13cfc3abdddc578cd6cc30,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/ink-grid-box-layout,mutant,test_semantic_mutants_fail[row-gap-dropped]#1,fail,fail,yes,f4071e49cc1e9d071f7d43873cf84e44f4450c36a261f0652fe60663a60b976a,failed,0,,failed,command-replay,
deep-swe/narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[quantile-validation-range]#1,fail,fail,yes,42f86f1b4899569b92536521c96f24f8ae0279b09c32c3571b6344c3fec29997,failed,0,,failed,command-replay,
deep-swe/narwhals-rolling-window-suite,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,a07efd6a762c51d5118e2107b26bf0370cfe8f7629ccec64ea7af23e3d26475f,passed,1,,passed,command-replay,
deep-swe/narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[median-even-window]#1,fail,fail,yes,a35c0ea6b34bc2096a41fc15a94e8662260eb86b5d4b308313be0fbab000d4d6,failed,0,,failed,command-replay,
deep-swe/narwhals-rolling-window-suite,mutant,test_dropping_the_largest_source_change_fails#1,fail,fail,yes,b694b7bf8813d9f5218c78c8cd59408fd7db5f4676998d7109671c26d96a8420,infrastructure_error,0,,failed,command-replay,
deep-swe/narwhals-rolling-window-suite,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,infrastructure_error,0,,failed,command-replay,
deep-swe/narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[quantile-interpolation]#1,fail,fail,yes,eb4170cf110cc4b873622ea8d2e85726de7b7ce6c03f342772aaaec3037b3ebb,failed,0,,failed,command-replay,
deep-swe/task-task-graph-export,mutant,test_unsorted_deps_mutant_fails#1,fail,fail,yes,1061901ec5e7d0eaef4150da1fd8bf4ea46a5d0935c81966962f39c968d8abb5,failed,0,,failed,command-replay,
deep-swe/task-task-graph-export,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,31df08de37b7bd610014827cc9a9367f9fc4ed7317495d2d0561dfcf3e46387e,passed,1,,passed,command-replay,
deep-swe/task-task-graph-export,mutant,test_cycle_error_missing_keyword_mutant_fails#1,fail,fail,yes,5fa19eca56accb43e2c2237dca781bc6fa64c776de7f2c1285f1b8e8bad0d1df,failed,0,,failed,command-replay,
deep-swe/task-task-graph-export,mutant,test_dot_missing_dashed_style_mutant_fails#1,fail,fail,yes,c766688650abd196e915fed7db523e2df9bbe2b46db37a808864e12fe7b6ab9e,failed,0,,failed,command-replay,
deep-swe/task-task-graph-export,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,cf81e14248de493754053832cf138acf72f5d60c0e015b723105aedaa35c4575,failed,0,,failed,command-replay,
deep-swe/task-task-graph-export,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,mutant,test_mutant_cidr_prefix_length_direction_fails#1,fail,fail,yes,599e16e1bc7b2ca34a7529b4898d5725d895237c20c49d581f41606d824b8c5b,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,7361a085339e6abc3de1a8b5b145e9782201ce5f7d959ec017f5a6c109c796c8,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,9d01448cdff58a7e43967d1be63e4461fd711a0735939c3534dbc5246227de78,passed,1,,passed,command-replay,
deep-swe/prometheus-typed-label-sorting,mutant,test_mutant_equal_typed_natural_tie_break_removed_fails#1,fail,fail,yes,a0eaa8b1280f72e36e1594fb5624601899a191d9f0af391f305126a75451ad13,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,mutant,test_mutant_huge_magnitude_order_fails#1,fail,fail,yes,b377e38deded5ab2592b0d1179de4daf0a827824aadf0516b54a7a2ff9d921fb,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,mutant,test_mutant_leading_whitespace_precedence_fails#1,fail,fail,yes,da42b3e4d5d6c20abed9deb7ad05aeb73f52f14fac6ec493a1ec9777b50fd5c0,failed,0,,failed,command-replay,
deep-swe/prometheus-typed-label-sorting,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_mutant_no_reopen_after_reset_fails#1,fail,fail,yes,30b32d2d9dfe64c2b8a712e18a22de75dc2a998eb8d83be783b4dbee7b4d1c9d,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_mutant_no_split_guarantee_fails#1,pass,fail,no,3fe410ec8069145fb9d42dadeee90425d3a3928f7a6ff1eb09e0df975b22d7ce,failed,1,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,514ee3f7a8c6e0ed8049b195f1570537ea07c473f9fa73b3b9a02a0956016575,passed,1,,passed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_mutant_ascii_style_truncate_emits_tail_fails#1,fail,fail,yes,a7fb68c22c541c6826602ae5ec4c4d97a519b05640964b4ffebb60effbc7b31f,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_mutant_hyperlink_not_closed_fails#1,fail,fail,yes,ab41e6733bf83791c73226b349379ed836f02d5591b447ee2da4cfe77dc6b8e8,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_mutant_reset_detection_only_full_reset_fails#1,fail,fail,yes,cd99f16eea9f189cd57c8b3a12c1bf754f2570163bc57f0365f0dffeac3b0439,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/termenv-preserve-ansi-resets,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,fe578b63f7e0a5dca60ae2ef344b77ef22783d8961d2cc038844b6d7eaf34d86,failed,0,,failed,command-replay,
deep-swe/pest-character-class-coalescing,mutant,test_benefit_check_off_by_one_mutant_fails#1,fail,fail,yes,168fe2a5a850fd958739532c6e9ebd1723a689b7c4365222993ba9905df3844e,failed,0,,failed,command-replay,
deep-swe/pest-character-class-coalescing,mutant,test_case_insensitive_expansion_disabled_mutant_fails#1,fail,fail,yes,25375b9bd301db76607d639f5b97b0a20dd5cbde611b5eed8de561f2fc671708,failed,0,,failed,command-replay,
deep-swe/pest-character-class-coalescing,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,5dcf463f6de9f9aaa2729c0e7fb521fa933de3e76154da22aa9e38e0fa281886,passed,1,,passed,command-replay,
deep-swe/pest-character-class-coalescing,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/pest-character-class-coalescing,mutant,test_partial_run_threshold_lowered_mutant_fails#1,fail,fail,yes,e5f2d1890581ce84009aaf91d735bf8ebff9ebd474dd6c7da312c59327619c90,failed,0,,failed,command-replay,
deep-swe/pest-character-class-coalescing,mutant,test_dropping_the_largest_non_test_file_fails#1,fail,fail,yes,fc64e31e031c70df7cb48c32c25e5fabe31e5d4f170248c56e62a6503fe1cdd8,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,010c309e24748c32335623f061e0c4571db428a77e7e427efbfa20254f94e8b1,passed,1,,passed,command-replay,
deep-swe/etree-xml-diff-patch,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,08761a7e7316d3c536b118e6390b2e2eaa788844d4d8a61ea9c12800b3b5ea9e,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,mutant,test_op_add_uses_element_path_not_parent_mutant_fails#1,fail,fail,yes,363925da19929f5c671dea8618fcbbed772284b5822648e7712284a819d4a521,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,mutant,test_reverse_patch_keeps_original_order_mutant_fails#1,fail,fail,yes,446a56d9c9c0ea9bb14529e4253d38b4c7b992abc946219847c86067c14399e4,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,mutant,test_new_attribute_encoding_mutant_fails#1,fail,fail,yes,822657404446d80bb9aed86f8ef97844f7f1773c90b96143a7dfe199bb99cc4a,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,mutant,test_merge_metadata_not_populated_mutant_fails#1,fail,fail,yes,c4c49d9b25d7390e518790f5622621dba009b26450674380c5e8dd8d58e40dc2,failed,0,,failed,command-replay,
deep-swe/etree-xml-diff-patch,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,mutant,test_dropping_the_largest_source_file_fails#1,fail,fail,yes,0e4564c677e0754381eb86b43cc6cb29ca8feb9835f3dab87367f754f588105b,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,mutant,test_semantic_mutants_fail[newline-sensitivity-dropped]#1,fail,fail,yes,447e74b3d9a954ab306ee045d60c63013727dfe3f2ec242fc778bd8a94b4dae8,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,reference,test_reference_passes_in_fresh_evaluations#1,fail,pass,no,5014eb30cbf4cfc53cb19f378a81c39987b6aafb84fb57826327a10fe57d405f,passed,0,,passed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,mutant,test_semantic_mutants_fail[await-using-error-priority]#1,fail,fail,yes,9e13210e9906ed2cfcd97b3e8390f11475a47cd70140ae8b341bdb876f92b1ce,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,mutant,test_semantic_mutants_fail[kind-label-swap]#1,fail,fail,yes,b6652c29f913b225452ad5526351ff410d2e5803747e3f68c24b56eb2e1fe4c5,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,mutant,test_semantic_mutants_fail[for-of-using-disabled]#1,fail,fail,yes,da87ee7de60781e8ea561b143afbee10004c1f566c05bd148914472ecb301421,failed,0,,failed,command-replay,
deep-swe/meriyah-explicit-resource-declarations,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[unobserve-is-noop]#1,fail,fail,yes,275ac016f471c46122ac8cf871e689d6fd35b436ea79405494c4010bd1d46cb4,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[zero-area-special-case-dropped]#1,fail,fail,yes,5f98947c01f97f3bcb2beb4edd81f99cb1f3bb165d6aa40745964580c4e4de32,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[synchronous-delivery]#1,fail,fail,yes,7a8cfe245bc9bb4d9f491adb278209942c632ad63c5b8f2af07b2f1d56b8694e,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,a9f01b843006d21d3cec9befc8d09affa77e65fe79350277686774a53b79e0e1,passed,1,,passed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_dropping_the_largest_source_file_fails#1,fail,fail,yes,ca9d1408a77510886e03413a2b09c5af312545cd004281f236b2f36c9eee7c3e,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[threshold-crossing-only-upward]#1,fail,fail,yes,cd7ed85e4fadede55fb7a0db661fa313e274e210655bd0ee1f53cba1022a921d,failed,0,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[root-margin-3value-wrong-expansion]#1,pass,fail,no,d2ba0a8992c1232dad947fedad2ebc880e23dccf68b67ea5554edd07dd4d6c91,failed,1,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,mutant,test_semantic_mutants_fail[order-not-preserved]#1,pass,fail,no,deb8bbb6475d2c765b5bebf9df395e70f2332d124c3571aa0f8cf44b826f6098,failed,1,,failed,command-replay,
deep-swe/happy-dom-deterministic-intersectionobserver,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/tengo-destructuring-bindings,reference,test_reference_passes_in_fresh_evaluations#1,pass,pass,yes,08cf4d836fe88494799ff94b277601572c0ce41851945fb16bde3283308aae9c,passed,1,,passed,command-replay,
deep-swe/tengo-destructuring-bindings,mutant,test_assign_operator_restriction_removed_mutant_fails#1,fail,fail,yes,d7536e86523e28669b035e48fd40621bcfa530783ff10a0299e3467979f3efac,failed,0,,failed,command-replay,
deep-swe/tengo-destructuring-bindings,mutant,test_array_default_always_evaluated_mutant_fails#1,fail,fail,yes,dd7335aab42317affa110be50b150a21a2902063ebbbc36f2dba63dfb9b79e76,failed,0,,failed,command-replay,
deep-swe/tengo-destructuring-bindings,base,test_base_fails_through_the_real_capture_path#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/tengo-destructuring-bindings,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,e76eeeeaf43499f0235ceea61340436f3e097db4516b5dbda845528ae06888aa,failed,0,,failed,command-replay,
deep-swe/tengo-destructuring-bindings,mutant,test_rest_must_be_last_check_direction_mutant_fails#1,fail,fail,yes,e7e49aaf662fcb2a286f63d3a692fc8a66b2ee4884d9027df4155f884cfbcef4,failed,0,,failed,command-replay,
deep-swe/obsidian-linter-auto-table-of-contents,mutant,test_semantic_mutants_fail[explicit-heading-id-parsing-disabled]#1,fail,fail,yes,1fc177750472f2fd162c35d877a89e6aa0f7e33bcbea21ae29efe5c2204e7142,failed,0,,failed,command-replay,
deep-swe/obsidian-linter-auto-table-of-contents,malicious,test_malicious_candidates_are_rejected[forged_driver_test_file]#1,fail,fail,yes,49c4d8f573536fb82c72ac250fd2471c7601bef2063ad4bfcf94756707174e4e,failed,0,,failed,command-replay,
