condition,benchmark,task,rep,candidate,original_status,original_verdict,cross_verifier,cross_verdict,agree,reason,original_passed
native,deep-swe,dateutil-rfc5545-timezone-interop,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,etree-xml-diff-patch,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,fd-deterministic-multi-key-sorting,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,go-critic-doc-link-checker,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,happy-dom-deterministic-intersectionobserver,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-array-merge-strategies,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,2,worktree,failed,fail,securebench,pass,no,,False
native,deep-swe,ink-grid-box-layout,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,mashumaro-flattened-dataclass-fields,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,meriyah-explicit-resource-declarations,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,narwhals-rolling-window-suite,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,obsidian-linter-scoped-ignore-markers,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,pest-character-class-coalescing,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,prometheus-typed-label-sorting,2,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,python-statemachine-state-data-scoping,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,python-statemachine-state-data-scoping,2,worktree,failed,fail,securebench,fail,yes,,False
native,deep-swe,returns-validated-error-accumulation,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,skrub-duration-encoding,2,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,sqlfmt-create-table-ddl-formatting,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,task-task-graph-export,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,tengo-callable-instance-isolation,2,committed,failed,fail,securebench,pass,no,,False
native,deep-swe,tengo-destructuring-bindings,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,termenv-preserve-ansi-resets,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,tomlkit-toml-table-converters,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,true-myth-iterable-collection-combinators,2,committed,passed,pass,securebench,infrastructure_error,n/a,,True
native,deep-swe,ts-pattern-match-each,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,updo-policy-alerting,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,anko-default-function-arguments,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,bandit-structured-nosec-directives,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,cattrs-partial-structuring-recovery,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,csstree-shorthand-expansion-compression,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,dateutil-rfc5545-timezone-interop,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,etree-xml-diff-patch,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,fd-deterministic-multi-key-sorting,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,go-critic-doc-link-checker,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,happy-dom-deterministic-intersectionobserver,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-array-merge-strategies,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,3,worktree,failed,fail,securebench,pass,no,,False
native,deep-swe,ink-grid-box-layout,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,mashumaro-flattened-dataclass-fields,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,meriyah-explicit-resource-declarations,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,narwhals-rolling-window-suite,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,obsidian-linter-scoped-ignore-markers,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,pest-character-class-coalescing,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,prometheus-typed-label-sorting,3,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,python-statemachine-state-data-scoping,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,returns-validated-error-accumulation,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,skrub-duration-encoding,3,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,sqlfmt-create-table-ddl-formatting,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,sqlfmt-create-table-ddl-formatting,3,worktree,failed,fail,securebench,pass,no,,False
native,deep-swe,task-task-graph-export,3,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,tengo-callable-instance-isolation,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,tengo-destructuring-bindings,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,termenv-preserve-ansi-resets,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,tomlkit-toml-table-converters,3,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,true-myth-iterable-collection-combinators,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,ts-pattern-match-each,3,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,updo-policy-alerting,3,committed,passed,pass,securebench,fail,no,,True
native,terminal-bench,bn-fit-modify,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,cancel-async-tasks,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,chess-best-move,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,code-from-image,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,constraints-scheduling,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,count-dataset-tokens,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,crack-7z-hash,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,db-wal-recovery,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,distribution-search,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,dna-assembly,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,dna-insert,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,extract-moves-from-video,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,feal-linear-cryptanalysis,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,financial-document-processor,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,fix-git,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gcode-to-text,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,git-leak-recovery,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gpt2-codegolf,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,headless-terminal,1,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,hf-model-inference,1,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,kv-store-grpc,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,log-summary-date-ranges,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-leaderboard,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-retrieve,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,protein-assembly,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,raman-fitting,1,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,rstan-to-pystan,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,sqlite-db-truncate,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,vulnerable-secret,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,write-compressor,1,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,bn-fit-modify,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,cancel-async-tasks,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,chess-best-move,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,code-from-image,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,constraints-scheduling,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,count-dataset-tokens,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,crack-7z-hash,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,db-wal-recovery,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,distribution-search,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,dna-assembly,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,dna-insert,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,extract-moves-from-video,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,feal-linear-cryptanalysis,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,financial-document-processor,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,fix-git,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gcode-to-text,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,git-leak-recovery,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gpt2-codegolf,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,headless-terminal,2,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,hf-model-inference,2,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,kv-store-grpc,2,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,log-summary-date-ranges,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-leaderboard,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-retrieve,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,protein-assembly,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,raman-fitting,2,-,infrastructure_error,n/a,,n/a,n/a,original run was an infrastructure error,False
native,terminal-bench,rstan-to-pystan,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,sqlite-db-truncate,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,vulnerable-secret,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,write-compressor,2,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,bn-fit-modify,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,cancel-async-tasks,3,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,chess-best-move,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,code-from-image,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,constraints-scheduling,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,count-dataset-tokens,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,crack-7z-hash,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,db-wal-recovery,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,distribution-search,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,dna-assembly,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,dna-insert,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,extract-moves-from-video,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,feal-linear-cryptanalysis,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,financial-document-processor,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,fix-git,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gcode-to-text,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,git-leak-recovery,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,gpt2-codegolf,3,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,headless-terminal,3,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,hf-model-inference,3,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,kv-store-grpc,3,final-state,passed,pass,securebench,fail,no,,True
native,terminal-bench,log-summary-date-ranges,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-leaderboard,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,mteb-retrieve,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,protein-assembly,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,raman-fitting,3,final-state,failed,fail,securebench,fail,yes,,False
native,terminal-bench,rstan-to-pystan,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,sqlite-db-truncate,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,vulnerable-secret,3,final-state,passed,pass,securebench,pass,yes,,True
native,terminal-bench,write-compressor,3,final-state,passed,pass,securebench,pass,yes,,True
securebench,deep-swe,anko-default-function-arguments,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,bandit-structured-nosec-directives,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,cattrs-partial-structuring-recovery,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,csstree-shorthand-expansion-compression,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,dateutil-rfc5545-timezone-interop,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,etree-xml-diff-patch,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,fd-deterministic-multi-key-sorting,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,go-critic-doc-link-checker,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,happy-dom-deterministic-intersectionobserver,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,helm-array-merge-strategies,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,helm-unified-manifest-stream,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,ink-grid-box-layout,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,mashumaro-flattened-dataclass-fields,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,meriyah-explicit-resource-declarations,1,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,narwhals-rolling-window-suite,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,obsidian-linter-scoped-ignore-markers,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,pest-character-class-coalescing,1,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,prometheus-typed-label-sorting,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,python-statemachine-state-data-scoping,1,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,deep-swe,returns-validated-error-accumulation,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,skrub-duration-encoding,1,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,sqlfmt-create-table-ddl-formatting,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,task-task-graph-export,1,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,tengo-callable-instance-isolation,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,tengo-destructuring-bindings,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,termenv-preserve-ansi-resets,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,tomlkit-toml-table-converters,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,true-myth-iterable-collection-combinators,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,ts-pattern-match-each,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,updo-policy-alerting,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,anko-default-function-arguments,2,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,bandit-structured-nosec-directives,2,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,cattrs-partial-structuring-recovery,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,csstree-shorthand-expansion-compression,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,dateutil-rfc5545-timezone-interop,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,etree-xml-diff-patch,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,fd-deterministic-multi-key-sorting,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,go-critic-doc-link-checker,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,happy-dom-deterministic-intersectionobserver,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,helm-array-merge-strategies,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,helm-unified-manifest-stream,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,ink-grid-box-layout,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,mashumaro-flattened-dataclass-fields,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,meriyah-explicit-resource-declarations,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,narwhals-rolling-window-suite,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,obsidian-linter-scoped-ignore-markers,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,pest-character-class-coalescing,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,prometheus-typed-label-sorting,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,python-statemachine-state-data-scoping,2,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,deep-swe,returns-validated-error-accumulation,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,skrub-duration-encoding,2,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,sqlfmt-create-table-ddl-formatting,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,task-task-graph-export,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,tengo-callable-instance-isolation,2,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,tengo-destructuring-bindings,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,termenv-preserve-ansi-resets,2,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,tomlkit-toml-table-converters,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,true-myth-iterable-collection-combinators,2,-,infrastructure_error,n/a,,n/a,n/a,original run was an infrastructure error,False
securebench,deep-swe,ts-pattern-match-each,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,updo-policy-alerting,2,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,anko-default-function-arguments,3,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,bandit-structured-nosec-directives,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,cattrs-partial-structuring-recovery,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,csstree-shorthand-expansion-compression,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,dateutil-rfc5545-timezone-interop,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,etree-xml-diff-patch,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,fd-deterministic-multi-key-sorting,3,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,deep-swe,go-critic-doc-link-checker,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,happy-dom-deterministic-intersectionobserver,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,helm-array-merge-strategies,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,helm-unified-manifest-stream,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,ink-grid-box-layout,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,mashumaro-flattened-dataclass-fields,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,meriyah-explicit-resource-declarations,3,securebench-captured,passed,pass,native,fail,no,,True
securebench,deep-swe,narwhals-rolling-window-suite,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,obsidian-linter-scoped-ignore-markers,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,pest-character-class-coalescing,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,prometheus-typed-label-sorting,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,python-statemachine-state-data-scoping,3,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,deep-swe,returns-validated-error-accumulation,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,skrub-duration-encoding,3,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,sqlfmt-create-table-ddl-formatting,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,task-task-graph-export,3,securebench-captured,failed,fail,native,pass,no,,False
securebench,deep-swe,tengo-callable-instance-isolation,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,tengo-destructuring-bindings,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,termenv-preserve-ansi-resets,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,tomlkit-toml-table-converters,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,true-myth-iterable-collection-combinators,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,deep-swe,ts-pattern-match-each,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,deep-swe,updo-policy-alerting,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,bn-fit-modify,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,cancel-async-tasks,1,securebench-captured,passed,pass,native,fail,no,,True
securebench,terminal-bench,chess-best-move,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,code-from-image,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,constraints-scheduling,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,count-dataset-tokens,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,crack-7z-hash,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,db-wal-recovery,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,distribution-search,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,dna-assembly,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,dna-insert,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,extract-moves-from-video,1,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,feal-linear-cryptanalysis,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,financial-document-processor,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,fix-git,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gcode-to-text,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,git-leak-recovery,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gpt2-codegolf,1,securebench-captured,failed,fail,native,pass,no,,False
securebench,terminal-bench,headless-terminal,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,hf-model-inference,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,kv-store-grpc,1,securebench-captured,passed,pass,native,fail,no,,True
securebench,terminal-bench,log-summary-date-ranges,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,mteb-leaderboard,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,mteb-retrieve,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,protein-assembly,1,securebench-captured,passed,pass,native,pass,yes,,True
