pack,task,candidate_kind,candidate_id,sha256,format,bytes,recorded_capture,recorded_in_test_verdict,nodeid,dir
deep-swe,updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[ssl-expiring-never-rearms]#1,b9eb1ee0b2a6a3cda118be109b29428cdef8dcc2db43052d0294f03ab9cccb50,patch,43278,captured,failed,tests/test_deepswe_updo_policy_alerting_mutants_v2.py::test_targeted_real_code_mutant_fails[ssl-expiring-never-rearms],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/b9eb1ee0b2a6a3cd
deep-swe,updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[cooldown-suppression-disabled]#1,a807d8e90126292b8638588022c7c73012337f26cea87badf7060d6b9802b212,patch,43245,captured,failed,tests/test_deepswe_updo_policy_alerting_mutants_v2.py::test_targeted_real_code_mutant_fails[cooldown-suppression-disabled],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/a807d8e90126292b
deep-swe,updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[webhook-custom-headers-dropped]#1,4a28cee7c4a3a9f9894a593758d7587da5ead2388ac7e7f39981b55b69e5f818,patch,43292,captured,failed,tests/test_deepswe_updo_policy_alerting_mutants_v2.py::test_targeted_real_code_mutant_fails[webhook-custom-headers-dropped],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/4a28cee7c4a3a9f9
deep-swe,updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[config-ssl-threshold-not-inherited]#1,5ca7958edcc10c5933aecb4f466259b4175489791f908f9ca5dce9af7171f73a,patch,43205,captured,failed,tests/test_deepswe_updo_policy_alerting_mutants_v2.py::test_targeted_real_code_mutant_fails[config-ssl-threshold-not-inherited],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/5ca7958edcc10c59
deep-swe,go-critic-doc-link-checker,base,test_go_critic_base_fails_real_captured_patch#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_base_fails_real_captured_patch,runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/e3b0c44298fc1c14
deep-swe,go-critic-doc-link-checker,base,test_go_critic_command_agent_smoke#1,c8875ef745bf092d8430d788fb420164e9292e4f5c07511348101b89042e7ce9,patch,4963,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_command_agent_smoke,runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/c8875ef745bf092d
deep-swe,go-critic-doc-link-checker,reference,test_go_critic_reference_passes_fresh_evaluations#1,ea83668367006922ae6723bec5701703098e4ea3198119c5e6189ce394523ad0,patch,27328,captured,passed,tests/test_go_critic_conversion_v2.py::test_go_critic_reference_passes_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/ea83668367006922
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_dropped_diagnostics_mutant_fails#1,ea3257bb84331ede9492e4d0615e5513612140e0d63a98525b44bd343dbea883,patch,27353,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_dropped_diagnostics_mutant_fails,runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/ea3257bb84331ede
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[local]#1,85445cf0d56c4d11cf7ecef3e3941c38b3b2f2d175dbba26febb05a84dacbf5c,patch,27392,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[local],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/85445cf0d56c4d11
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[local_type]#1,f713f9ff9d8a55bed4bb326d9a89d834f4632d7cd9758ed479102cfa78b10681,patch,27392,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[local_type],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/f713f9ff9d8a55be
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[not_type]#1,d0e2cf3bc1eb679cc3a505f93153613bf1af9820087ca62eadccee21cb95a7a4,patch,27372,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[not_type],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/d0e2cf3bc1eb679c
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[alias]#1,1c165f569ad58c01e53153ddd4cb6d2518514f0ea9dc18490ecf4c6ba231208f,patch,27382,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[alias],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/1c165f569ad58c01
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[imported_symbol]#1,4cc9327a8f9c7a7a091598ce63198540c701824b1b230444be8c0de867baa1d6,patch,27382,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[imported_symbol],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/4cc9327a8f9c7a7a
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[imported_type]#1,75f742af00f4184dcb6fa8b3137be50d527c619bc388c35848790da9157ca852,patch,27387,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[imported_type],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/75f742af00f4184d
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[member]#1,97778920185dfed235c36d7ae2cd4c707cfb8c0e69ee9de2137eb3ac722a0fc7,patch,27389,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_semantic_mutants_fail[member],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/97778920185dfed2
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_regression_and_location_mutants_fail[regression]#1,387a725537ec784e234f86b13f4d7bb57c58892784cf6203d068336ea48b4ef3,patch,27761,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_regression_and_location_mutants_fail[regression],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/387a725537ec784e
deep-swe,go-critic-doc-link-checker,mutant,test_go_critic_regression_and_location_mutants_fail[comment_location]#1,7b7de6e5b17d7f38d72abe1599c2d929a06cd032f5978873bc8670cc2dcae537,patch,27343,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_regression_and_location_mutants_fail[comment_location],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/7b7de6e5b17d7f38
deep-swe,go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[empty]#1,dbb7dfee132d6017fedf6edd8784e4198a54cb207c54ce4ae154aa1b87409e44,patch,305,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_forged_success_fails[empty],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/dbb7dfee132d6017
deep-swe,go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[duplicate]#1,6e666704b1c095020d321b226f6c3e32f610271a687e15f68c702515d2383ff1,patch,336,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_forged_success_fails[duplicate],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/6e666704b1c09502
deep-swe,go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[oversized]#1,5f0860810a0357829e0c7b83b1ba8ee4c951f37a55362dc2e6cf1da4e7182025,patch,65246,captured,failed,tests/test_go_critic_conversion_v2.py::test_go_critic_forged_success_fails[oversized],runs/campaign/phase1/candidates/deep-swe/go-critic-doc-link-checker/5f0860810a035782
deep-swe,bandit-structured-nosec-directives,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/e3b0c44298fc1c14
deep-swe,bandit-structured-nosec-directives,reference,test_reference_passes_in_fresh_evaluations#1,b35e9ce831b69e3443ceda1a955d8d6d934e0915e15f20c754cbb2e7b8ed4514,patch,24581,captured,passed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/b35e9ce831b69e34
deep-swe,bandit-structured-nosec-directives,mutant,test_incomplete_implementation_mutant_fails#1,10e40a3a87ca2c4433f08acdf8bcb484840653dc5ca1014daca8f150e5efd9d9,patch,16194,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_incomplete_implementation_mutant_fails,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/10e40a3a87ca2c44
deep-swe,bandit-structured-nosec-directives,mutant,test_blanket_does_not_dominate_union_mutant_fails#1,7adc4f7489c830909b9e796e62786889d128d0e096240f1297d52794f5eddac5,patch,24535,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_blanket_does_not_dominate_union_mutant_fails,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/7adc4f7489c83090
deep-swe,bandit-structured-nosec-directives,mutant,test_region_does_not_auto_end_at_dedent_mutant_fails#1,4446fbb339491c0675eda0eaaeaaf8fee7dc795f67f872618b5378017b9687e7,patch,24591,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_region_does_not_auto_end_at_dedent_mutant_fails,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/4446fbb339491c06
deep-swe,bandit-structured-nosec-directives,mutant,test_selector_intersection_behaves_like_union_mutant_fails#1,a944a996a09f65cf58d2a571db6fa0ec17033983261a974ba0474e62cbda0423,patch,24581,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_selector_intersection_behaves_like_union_mutant_fails,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/a944a996a09f65cf
deep-swe,bandit-structured-nosec-directives,mutant,test_linerange_truncated_to_node_start_mutant_fails#1,ea67f9afb51f3f218ca3f39161cda1a7a19a94ba760dbe18745f568ef619609e,patch,24421,captured,failed,tests/test_deepswe_bandit_structured_nosec_directives_v2.py::test_linerange_truncated_to_node_start_mutant_fails,runs/campaign/phase1/candidates/deep-swe/bandit-structured-nosec-directives/ea67f9afb51f3f21
deep-swe,dateutil-rfc5545-timezone-interop,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_dateutil_rfc5545_timezone_interop_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/dateutil-rfc5545-timezone-interop/e3b0c44298fc1c14
deep-swe,dateutil-rfc5545-timezone-interop,reference,test_reference_passes_in_fresh_evaluations#1,dc6c13f7e3e211513af50613e61baf1d24a2115d91b932af89e0781335940a2b,patch,33534,captured,passed,tests/test_deepswe_dateutil_rfc5545_timezone_interop_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/dateutil-rfc5545-timezone-interop/dc6c13f7e3e21151
deep-swe,dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[vcalendar-line-unfolding-keeps-whitespace]#1,306e9f30e358eec58b3ef8d916509e743298f5ba875b0dd68a116ec19d0eea19,patch,33575,captured,failed,tests/test_deepswe_dateutil_rfc5545_timezone_interop_v2.py::test_targeted_real_code_mutant_fails[vcalendar-line-unfolding-keeps-whitespace],runs/campaign/phase1/candidates/deep-swe/dateutil-rfc5545-timezone-interop/306e9f30e358eec5
deep-swe,dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[vtimezone-priority-over-tzids-dropped]#1,73da345bbfc1968540ff10068d455a739a95a81e64bc13bbe28e3855d3fddae6,patch,33676,captured,failed,tests/test_deepswe_dateutil_rfc5545_timezone_interop_v2.py::test_targeted_real_code_mutant_fails[vtimezone-priority-over-tzids-dropped],runs/campaign/phase1/candidates/deep-swe/dateutil-rfc5545-timezone-interop/73da345bbfc19685
deep-swe,dateutil-rfc5545-timezone-interop,mutant,test_targeted_real_code_mutant_fails[ruleset-dtstart-dedup-dropped]#1,2ef7fef6aa6e36f0e9a7114abc6c2624a86d2220189d703e3555c43bd1f20b20,patch,33519,captured,failed,tests/test_deepswe_dateutil_rfc5545_timezone_interop_v2.py::test_targeted_real_code_mutant_fails[ruleset-dtstart-dedup-dropped],runs/campaign/phase1/candidates/deep-swe/dateutil-rfc5545-timezone-interop/2ef7fef6aa6e36f0
deep-swe,ink-grid-box-layout,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/e3b0c44298fc1c14
deep-swe,ink-grid-box-layout,reference,test_reference_passes_in_fresh_evaluations#1,399c2810c174ecbcc655461a8584da9bc706daf01fa8cff273c73ade7e092df2,patch,15462,captured,passed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/399c2810c174ecbc
deep-swe,ink-grid-box-layout,mutant,test_dropping_the_largest_source_file_fails#1,14aaab496e62c2abe50d99d56efbe84eafa86fa6f0e4894b5b5f6627237ff3c1,patch,2907,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_dropping_the_largest_source_file_fails,runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/14aaab496e62c2ab
deep-swe,ink-grid-box-layout,mutant,test_semantic_mutants_fail[auto-placement-ignores-occupied-cells]#1,aa2011abccfd28e5a2b671004b4877969243a0e6ea2ea3dfc3a0ec23708be0db,patch,15417,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_semantic_mutants_fail[auto-placement-ignores-occupied-cells],runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/aa2011abccfd28e5
deep-swe,ink-grid-box-layout,mutant,test_semantic_mutants_fail[fr-rounding]#1,416a9bf4d073c3e0138019d64904dd629be37c7d15cb0405a58551084d31f8bd,patch,15461,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_semantic_mutants_fail[fr-rounding],runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/416a9bf4d073c3e0
deep-swe,ink-grid-box-layout,mutant,test_semantic_mutants_fail[minmax-fixed-cap-dropped]#1,4e5b518f7b1e70d5604291a558a14fd03a9e6036b04ed25f7bdefcb7ea2d10bf,patch,15383,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_semantic_mutants_fail[minmax-fixed-cap-dropped],runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/4e5b518f7b1e70d5
deep-swe,ink-grid-box-layout,mutant,test_semantic_mutants_fail[row-gap-dropped]#1,f4071e49cc1e9d071f7d43873cf84e44f4450c36a261f0652fe60663a60b976a,patch,15433,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_semantic_mutants_fail[row-gap-dropped],runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/f4071e49cc1e9d07
deep-swe,ink-grid-box-layout,mutant,test_semantic_mutants_fail[span-off-by-one]#1,b53b337295329e1bebcbee42e147691b01e0f880ea13cfc3abdddc578cd6cc30,patch,15466,captured,failed,tests/test_deepswe_ink_grid_box_layout_v2.py::test_semantic_mutants_fail[span-off-by-one],runs/campaign/phase1/candidates/deep-swe/ink-grid-box-layout/b53b337295329e1b
deep-swe,narwhals-rolling-window-suite,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,infrastructure_error,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/e3b0c44298fc1c14
deep-swe,narwhals-rolling-window-suite,reference,test_reference_passes_in_fresh_evaluations#1,a07efd6a762c51d5118e2107b26bf0370cfe8f7629ccec64ea7af23e3d26475f,patch,39069,captured,passed,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/a07efd6a762c51d5
deep-swe,narwhals-rolling-window-suite,mutant,test_dropping_the_largest_source_change_fails#1,b694b7bf8813d9f5218c78c8cd59408fd7db5f4676998d7109671c26d96a8420,patch,28066,captured,infrastructure_error,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_dropping_the_largest_source_change_fails,runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/b694b7bf8813d9f5
deep-swe,narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[median-even-window]#1,a35c0ea6b34bc2096a41fc15a94e8662260eb86b5d4b308313be0fbab000d4d6,patch,39071,captured,failed,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_targeted_real_code_mutant_fails[median-even-window],runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/a35c0ea6b34bc209
deep-swe,narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[quantile-interpolation]#1,eb4170cf110cc4b873622ea8d2e85726de7b7ce6c03f342772aaaec3037b3ebb,patch,39157,captured,failed,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_targeted_real_code_mutant_fails[quantile-interpolation],runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/eb4170cf110cc4b8
deep-swe,narwhals-rolling-window-suite,mutant,test_targeted_real_code_mutant_fails[quantile-validation-range]#1,42f86f1b4899569b92536521c96f24f8ae0279b09c32c3571b6344c3fec29997,patch,39091,captured,failed,tests/test_deepswe_narwhals_rolling_window_suite_v2.py::test_targeted_real_code_mutant_fails[quantile-validation-range],runs/campaign/phase1/candidates/deep-swe/narwhals-rolling-window-suite/42f86f1b4899569b
deep-swe,task-task-graph-export,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_task_task_graph_export_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/e3b0c44298fc1c14
deep-swe,task-task-graph-export,reference,test_reference_passes_in_fresh_evaluations#1,31df08de37b7bd610014827cc9a9367f9fc4ed7317495d2d0561dfcf3e46387e,patch,18269,captured,passed,tests/test_deepswe_task_task_graph_export_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/31df08de37b7bd61
deep-swe,task-task-graph-export,mutant,test_incomplete_implementation_mutant_fails#1,cf81e14248de493754053832cf138acf72f5d60c0e015b723105aedaa35c4575,patch,3960,captured,failed,tests/test_deepswe_task_task_graph_export_v2.py::test_incomplete_implementation_mutant_fails,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/cf81e14248de4937
deep-swe,task-task-graph-export,mutant,test_unsorted_deps_mutant_fails#1,1061901ec5e7d0eaef4150da1fd8bf4ea46a5d0935c81966962f39c968d8abb5,patch,18267,captured,failed,tests/test_deepswe_task_task_graph_export_v2.py::test_unsorted_deps_mutant_fails,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/1061901ec5e7d0ea
deep-swe,task-task-graph-export,mutant,test_cycle_error_missing_keyword_mutant_fails#1,5fa19eca56accb43e2c2237dca781bc6fa64c776de7f2c1285f1b8e8bad0d1df,patch,18268,captured,failed,tests/test_deepswe_task_task_graph_export_v2.py::test_cycle_error_missing_keyword_mutant_fails,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/5fa19eca56accb43
deep-swe,task-task-graph-export,mutant,test_dot_missing_dashed_style_mutant_fails#1,c766688650abd196e915fed7db523e2df9bbe2b46db37a808864e12fe7b6ab9e,patch,18278,captured,failed,tests/test_deepswe_task_task_graph_export_v2.py::test_dot_missing_dashed_style_mutant_fails,runs/campaign/phase1/candidates/deep-swe/task-task-graph-export/c766688650abd196
deep-swe,prometheus-typed-label-sorting,base,test_base_fails_through_the_real_capture_path#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_prometheus_typed_label_sorting_v2.py::test_base_fails_through_the_real_capture_path,runs/campaign/phase1/candidates/deep-swe/prometheus-typed-label-sorting/e3b0c44298fc1c14
deep-swe,prometheus-typed-label-sorting,reference,test_reference_passes_in_fresh_evaluations#1,9d01448cdff58a7e43967d1be63e4461fd711a0735939c3534dbc5246227de78,patch,20726,captured,passed,tests/test_deepswe_prometheus_typed_label_sorting_v2.py::test_reference_passes_in_fresh_evaluations,runs/campaign/phase1/candidates/deep-swe/prometheus-typed-label-sorting/9d01448cdff58a7e
